Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Master
RBIINDID|||RBIINDNAME~~~
342|||MANUFACTURE OF CEMENT PRODUCTS INCLUDING PLASTER, ASBESTOS, CEMENT AND ITS PRODUCTS, HUME PIPES, CONCRETE PRODUCTS, ETC~~~
26902|||MANUFACTURE OF CEMENT, LIME AND PLASTER)~~~
16003|||MANUFACTURE OF CHEWING ITEMS LIKE PAN MASALA, SCENTED SUPARI, CATECHU (KATTHA), CHEWING LIME AND REL~~~
15404|||MANUFACTURE OF COCOA, CHOCOLATE AND SUGAR CONFECTIONERY INCLUDING MANUFACTURE OF SWEETMEATS, CHEWING~~~
23101|||MANUFACTURE OF COKE OR COKE OVEN PRODUCTS [INCLUDES THE OPERATION OF COKE OVENS CHIEFLY FOR THE PROD~~~
30001|||MANUFACTURE OF COMPUTER, PRINTERS AND OTHER COMPUTER PERIPHERALS,  AUTOMATIC DATA PROCESSING MACHINE~~~
15401|||MANUFACTURE OF CONFECTIONERY PRODUCT, BAKERY PRODUCTS, BISCUITS, CAKES, PASTRIES, CONFECTIONERY PROD~~~
21003|||MANUFACTURE OF CORRUGATED PAPER AND PAPER BOARD AND OF CONTAINERS OF PAPER AND PAPER BOARD [INCLUDES~~~
29301|||MANUFACTURE OF DOMESTIC APPLIANCES, N.E.C. - INCLUDES OIL STOVES, HURRICANE LANTERNS AND OIL PRESSUR~~~
31501|||MANUFACTURE OF ELECTRIC LAMPS AND LIGHTING EQUIPMENT)~~~
31101|||MANUFACTURE OF ELECTRIC MOTORS, GENERATORS AND TRANSFORMERS)~~~
31201|||MANUFACTURE OF ELECTRICITY DISTRIBUTION AND CONTROL APPARATUS [ELECTRICAL APPARATUS FOR SWITCHING OR~~~
32101|||MANUFACTURE OF ELECTRONIC VALVES AND TUBES AND OTHER ELECTRONIC COMPONENTS; ALL TYPE OF ELECTRONIC G~~~
29101|||MANUFACTURE OF ENGINES AND TURBINES (EXCEPT AIRCRAFT, VEHICLE AND CYCLE ENGINES) ITS PARTS AND ACCES~~~
24103|||MANUFACTURE OF FERTILIZERS AND NITROGEN COMPOUNDS)~~~
25202|||MANUFACTURE OF FIBRE GLASS AND PRODUCTS)~~~
24219|||MANUFACTURE OF FINE CHEMICALS AND OTHER CHEMICAL PRODUCTS N.E.C. (INCLUDING ANTI-KNOCK PREPARATIONS,~~~
36101|||MANUFACTURE OF FURNITURE & FIXTURES MADE OF WOOD, CANE , REED METAL, PLASTIC ETC.)~~~
36905|||MANUFACTURE OF GAMES AND TOYS)~~~
40201|||MANUFACTURE OF GAS; DISTRIBUTION OF GASEOUS FUELS THROUGH MAINS)~~~
24214|||MANUFACTURE OF GELATIN AND GELATIN DERIVATIVES, GLUES OF ANIMAL ORIGIN, PREPARED GLUES AND OTHER PRE~~~
26101|||MANUFACTURE OF GLASS AND GLASS PRODUCTS INCLUDING GLASS FIBRE, FLOAT GLASS AND PRODUCTS)~~~
215|||MANUFACTURE OF HYDROGENATED OILS, VANASPATI, GHEE AND OTHER EDIBLE OILS AND FATS SUCH AS MUSTARD OIL, COTTON SEED OIL, SEASAME OIL, SUNFLOWER OIL, SOYBEAN OIL, COCONUT OIL, GROUNDNUT OIL, FISH OIL, ANIMAL OILS AND FATS, ETC (NON-EDIBLE OILS ARE TO BE SHOW~~~
36907|||MANUFACTURE OF IMITATION JEWELRY, BROOMS AND BRUSHES;  FLOOR SWEEPERS, MOPS; FEATHER DUSTERS; PAINT~~~
15403|||MANUFACTURE OF INDIGENOUS SUGAR, 'BOORA', 'GUR' AND 'KHANDSARI' FROM SUGARCANE OR OTHER THAN SUGAR C~~~
31301|||MANUFACTURE OF INSULATED WIRE AND CABLE [INSULATED (INCLUDING ENAMELLED OR ANODIZED) WIRE, CABLE (IN~~~
36901|||MANUFACTURE OF JEWELLERY & RELATED ARTICLES (OF PRECIOUS METAL AND GEMSTONES OTHER THAN DIAMOND) AND~~~
17202|||MANUFACTURE OF JUTE, MESTA, HEMP AND OTHER VEGETABLE FIBRE PRODUCTS SUCH AS ROPES, CORDAGE, TWINE, E~~~
18102|||MANUFACTURE OF KHADI GARMENTS)~~~
17301|||MANUFACTURE OF KNITTED AND CROCHETED FABRICS AND ARTICLES – COTTON, WOOLEN, SYNTHETIC ETC. TEXTILE P~~~
19102|||MANUFACTURE OF LEATHER AND LEATHER PRODUCTS (EXCLUDING FOOTWEAR) LIKE SUITCASES, HANDBAG, SADDLERY,~~~
292|||MANUFACTURE OF LEATHER AND LEATHER PRODUCTS (INCLUDING FOOTWEAR AND WEARING APPAREL) -- INCLUDE FUR AND PELT PRODUCTS, LEATHER-CUM-PLASTIC PRODUCTS~~~
19201|||MANUFACTURE OF LEATHER FOOTWEAR: INCLUDES MANUFACTURE OF LEATHER SHOES, LEATHER SANDALS AND CHAPPALS~~~
29206|||MANUFACTURE OF LIGHT AGRICULTURAL AND FORESTRY MACHINERY AND EQUIPMENT INCLUDING FORAGE PRESS: PLOUG~~~
36909|||MANUFACTURE OF LINOLEUM AND HARD SURFACE FLOOR COVERINGS; MANUFACTURE OF MISCELLANEOUS DECORATIVE AR~~~
29202|||MANUFACTURE OF MACHINE-TOOLS)~~~
29203|||MANUFACTURE OF MACHINERY (AND PARTS) FOR MINING, QUARRYING AND CONSTRUCTION )~~~
29204|||MANUFACTURE OF MACHINERY FOR FOOD(INCLUDING RICE, SUGAR, FLOUR MILL ETC.), BEVERAGE (TEA, COFFEE MAC~~~
29207|||MANUFACTURE OF MACHINERY FOR METALLURGY: CONVERTERS, INGOT MOULDS, LADLES AND CASTING MACHINES; META~~~
29205|||MANUFACTURE OF MACHINERY FOR TEXTILE, APPAREL AND LEATHER PRODUCTION )~~~
17201|||MANUFACTURE OF MADE-UP TEXTILE ARTICLES, EXCEPT APPAREL SUCH AS CURTAINS, BED COVERS, UPHOLSTERY, BE~~~
24301|||MANUFACTURE OF MAN-MADE FIBRES [THIS CLASS INCLUDES MANUFACTURE OF ARTIFICIAL OR SYNTHETIC FILAMENT~~~
24211|||MANUFACTURE OF MATCHES & FIREWORKS, EXPLOSIVES, AMMUNITIONS )~~~
33101|||MANUFACTURE OF MEDICAL AND SURGICAL EQUIPMENT AND ORTHOPEDIC APPLIANCES)~~~
359|||MANUFACTURE OF METAL PRODUCTS (EXCLUDING MACHINERY AND TRANSPORT EQUIPMENT'S)(I) FABRICATED METAL PRODUCTS SUCH AS METAL CONTAINERS, BARRELS, DRUMS, VAULTS, SAFES, TRUNKS AND BOXES, STEEL CUPBOARDS; RAZOR BLADES, ALUMINUM FOILS, ETC(II) STRUCTURAL METAL P~~~
26905|||MANUFACTURE OF MICA AND MICA PRODUCTS; GYPSUM BOARDS; MILLSTONES, SHARPENING OR POLISHING STONES AND~~~
34101|||MANUFACTURE OF MOTOR VEHICLES - INCLUDING PASSENGER AND COMMERCIAL VEHICLES LIKE MOTOR CARS, JEEPS,~~~
35901|||MANUFACTURE OF MOTORCYCLES, MOPEDS, SCOOTERS, SCOOTERETTES, AUTO-RICKSHAWS, TEMPOS (THREE-WHEELERS)~~~
36903|||MANUFACTURE OF MUSICAL INSTRUMENTS)~~~
21002|||MANUFACTURE OF NEWSPRINT)~~~
26901|||MANUFACTURE OF NON-STRUCTURAL NON-REFRACTORY CERAMIC WARE - INCLUDES ARTICLES OF PORCELAIN OR CHINA,~~~
30002|||MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY [MANUAL OR ELECTRIC OR ELECTRONIC TYPEWRIT~~~
33201|||MANUFACTURE OF OPTICAL INSTRUMENTS AND PHOTOGRAPHIC EQUIPMENT)~~~
21004|||MANUFACTURE OF OTHER ARTICLES OF PAPER AND PAPER BOARD LIKE PAPER HOOPS AND CONES, PAPER CUPS, SAUCE~~~
31901|||MANUFACTURE OF OTHER ELECTRICAL EQUIPMENT N.E.C.)~~~
25102|||MANUFACTURE OF OTHER RUBBER PRODUCTS LIKE RUBBER PLATES, SHEETS, STRIPS, RODS, TUBES, PIPES, HOSES A~~~
29209|||MANUFACTURE OF OTHER SPECIAL PURPOSE MACHINERY N.E.C. INCLUDING PARTS & ACCESSORIES)~~~
24202|||MANUFACTURE OF PAINTS, VARNISHES AND SIMILAR COATINGS, PRINTING INK AND MASTICS)~~~
34301|||MANUFACTURE OF PARTS AND ACCESSORIES FOR MOTOR VEHICLES AND THEIR ENGINES [BRAKES, GEAR BOXES, AXLES~~~
24201|||MANUFACTURE OF PESTICIDES AND OTHER AGRO CHEMICAL PRODUCTS)~~~
24203|||MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS (INCLUDING 'AYURVEDIC', H~~~
24213|||MANUFACTURE OF PHOTOCHEMICAL, SENSITISED FILMS AND PAPERS)~~~
386|||MANUFACTURE OF PHOTOCHEMICALS, SENSITISED FILMS AND PAPERS~~~
24104|||MANUFACTURE OF PLASTIC IN PRIMARY FORM AND OF SYNTHETIC RUBBER : INCLUDES MANUFACTURE OF SYNTHETIC R~~~
25201|||MANUFACTURE OF PLASTIC PRODUCTS - INCLUDES MANUFACTURE OF SEMI-FINISHED PRODUCTS, PACKING PRODUCTS,~~~
21001|||MANUFACTURE OF PULP, PAPER AND PAPER BOARDS (INCLUDES PRINTING AND WRITING PAPER,  PACKAGING PAPER,~~~
35201|||MANUFACTURE OF RAILWAY AND TRAMWAY LOCOMOTIVES AND ROLLING STOCK; MANUFACTURE OF PARTS AND ACCESSORI~~~
23201|||MANUFACTURE OF REFINED PETROLEUM PRODUCTS)~~~
29109|||MANUFACTURE OF REFRIGERATORS OR FREEZING EQUIPMENT & FURNITURE DESIGNED TO ACCOMMODATE IT; FIRE EXTI~~~
310|||MANUFACTURE OF RUBBER AND RUBBER PRODUCTS INCLUDING:(I) FOAM PRODUCTS, RUBBER MATTRESSES AND CUSHIONS, TYRES, TUBES, ETC(II) MANUFACTURE OF FOOTWEAR PRIMARILY OF VULCANISED MOULDED RUBBER(III) RUBBER PIPES, BALLOONS, HOT WATER BAGS, RUBBER SHEETS, ETC(IV)~~~
25101|||MANUFACTURE OF RUBBER TYRES, TUBES; RETARDING OF TYRES; REPLACING OF PNEUMATIC TYRES AND SOLID OR CU~~~
15405|||MANUFACTURE OF SEMI-PROCESSED AND READY TO EAT FOOD ITEMS LIKE MACARONI, NOODLES, CORN-FLAKES, AND O~~~
17204|||MANUFACTURE OF SHAWLS, BLANKETS, CARPETS, DURRIES, DRUGGETS AND RUGS)~~~
24204|||MANUFACTURE OF SOAPS OF ALL TYPE, WAXES & POLISHES, ORGANIC SURFACE-ACTIVE AGENTS (SURFACTANTS) AND~~~
15502|||MANUFACTURE OF SOFT DRINKS (AERATED DRINKS, SYNTHETIC FLAVORED CONCENTRATES AND SYRUPS ETC.); MINERA~~~
36904|||MANUFACTURE OF SPORTS AND ATHLETIC GOODS)~~~
36906|||MANUFACTURE OF STATIONERY ARTICLES LIKE PENS, PENCILS, PENCIL LEADS, PEN REFILLS, DATE SEALING OR NU~~~
28101|||MANUFACTURE OF STRUCTURAL METAL PRODUCTS)~~~
32301|||MANUFACTURE OF TELEVISION AND RADIO RECEIVERS, SOUND OR VIDEO RECORDING OR REPRODUCING APPARATUS, AN~~~
32201|||MANUFACTURE OF TELEVISION AND RADIO TRANSMITTERS AND APPARATUS FOR LINE TELEPHONY AND LINE TELEGRAPH~~~
17205|||MANUFACTURE OF THREAD, INCLUDING THREAD BALL MAKING, MANUFACTURE OF NETS (EXCLUDING MOSQUITO NETS);~~~
29201|||MANUFACTURE OF TRACTORS, HARVESTERS AND OTHER HEAVY MACHINERY FOR USE IN AGRICULTURAL AND FORESTRY)~~~
24102|||MANUFACTURE OF TURPENTINE AND RESINS OF VEGETABLE ORIGIN)~~~
20201|||MANUFACTURE OF VENEER SHEETS; MANUFACTURE OF PLYWOOD, LAMINATED BOARD, PARTICLE BOARD AND OTHER PANE~~~
33301|||MANUFACTURE OF WATCHES AND CLOCKS)~~~
29208|||MANUFACTURE OF WEAPONS AND AMMUNITION )~~~
18101|||MANUFACTURE OF WEARING APPARELS, READY MADE GARMENTS (EXCEPT KHADI))~~~
201|||MANUFACTURING OF DAIRY PRODUCTS, BAKERY PRODUCTS, PASTRIES, CONFECTIONERY PRODUCTS, ICE CREAM, FROZEN DESSERTS, ETC~~~
16002|||MANUFACTURING OF TOBACCO PRODUCTS [ INCLUDES MANUFACTURE OF BIDI, CIGARETTE AND CIGARETTE TOBACCO, C~~~
384|||MATCHES, EXPLOSIVES, AMMUNITIONS AND FIREWORKS~~~
15101|||MEAT: SLAUGHTERING, PREPARATION AND PRESERVATION OF MEAT [INCLUDES MUTTON, BEEF, PORK, POULTRY AND O~~~
85102|||MEDICAL AND DENTAL PRACTICE ACTIVITIES. [INCLUDES CONSULTATION AND TREATMENT ACTIVITIES OF GENERAL P~~~
895|||MERCHANT BANKING/FINANCIAL SERVICES COMPANIES~~~
67104|||MERCHANT BANKING/FINANCIAL SERVICES COMPANIES)~~~
74401|||MERGER, ACQUISITION & RESTRUCTURING OF COMPANIES)~~~
14101|||MINING & QUARRYING OF STONE (ROCK AGGREGATES), SAND, CLAYS AND OTHER MINERALS FOR CONSTRUCTION [ INC~~~
10001|||MINING AND AGGLOMERATION OF HARD COAL)~~~
180|||MINING AND QUARRYING OF ROCK AGGREGATES, SAND, CLAYS AND OTHER MINERALS FOR CONSTRUCTION~~~
14201|||MINING OF CHEMICALS AND FERTILIZERS [INCLUDES MINING OF NATIVE SULPHUR OR PYRITE AND PYRRHOTITES VAL~~~
13101|||MINING OF IRON ORES [INCLUDES MINING OF HEMATITE, MAGNETITE, LIMONITE, SIDERITE OR TACONITE ETC. WHI~~~
13201|||MINING OF NON-FERROUS METAL ORES N.E.C. - INCLUDES MANGANESE ORES, CHROMIUM ORES; ALUMINUM ORES (BAU~~~
12001|||MINING OF URANIUM AND THORIUM ORES(E.G. PITCHBLENDE),INCLUDING CONCENTRATION OF SUCH ORES)~~~
99999|||MISCELLANEOUS~~~
92101|||MOTION PICTURE AND VIDEO PRODUCTION AND DISTRIBUTION)~~~
373|||MOTOR VEHICLES AND PARTS -- INCLUDING MOTOR CYCLES, SCOOTERS, SCOOTERETTES, AUTO-RICKSHAWS, TEMPOS, OTHER PASSENGER AND COMMERCIAL VEHICLES~~~
65932|||MUTUAL FUNDS INCLUDING UNIT TRUST OF INDIA)~~~
92201|||NEWS AGENCY ACTIVITIES)~~~
283|||NEWSPAPER AND MAGAZINE PUBLICATIONS, PUBLISHING OF BOOKS, PERIODICALS, JOURNALS, ATLAS BOOKS, MAPS, DIRECTORIES, EXERCISE BOOKS, ETC~~~
65924|||NIDHIS/MUTUAL BENEFIT FINANCIAL COMPANIES)~~~
893|||NIDHIS/MUTUAL BENEFIT FUNDS~~~
325|||NON-EDIBLE OILS~~~
24212|||NON-EDIBLE OILS: MANUFACTURE OF ESSENTIAL OILS, MODIFICATION BY CHEMICAL PROCESSES (E.G. BY OXIDATIO~~~
352|||NON-FERROUS METALS -- BASIC INDUSTRIES (COPPER SMELTING AND ROLLING, ALUMINUM, ZINC AND BRASS MANUFACTURING)~~~
66002|||NON-LIFE INSURANCE)~~~
65925|||NON-OPERATING FINANCIAL HOLDING COMPANIES (INVESTMENT COMPANIES))~~~
62101|||NON-SCHEDULED AIR TRANSPORT)~~~
60202|||NON-SCHEDULED PASSENGER LAND TRANSPORT BY MAN OR ANIMAL DRAWN VEHICLES LIKE CYCLE-RICKSAWS; ANIMALS~~~
60203|||NON-SCHEDULED PASSENGER LAND TRANSPORT SUCH AS TAXI OPERATION, AUTO-RICKSHAWS, SCOOTERS, RENTAL OF P~~~
52101|||NON-SPECIALIZED  RETAIL TRADE IN STORES (GENERAL MERCHANDISE) INCLUDING CONSUMER CO-OPERATIVE STORES~~~
721|||OCEAN AND COASTAL WATER TRANSPORT~~~
61101|||OCEAN AND COASTAL WATER TRANSPORT)~~~
15104|||OILS & FATS: MANUFACTURE OF VEGETABLE AND ANIMAL OILS AND FATS [ INCLUDES MANUFACTURE OF HYDROGENATE~~~
15|||OILSEEDS - CULTIVATION~~~
618|||OILSEEDS - WHOLESALE TRADE~~~
92109|||OTHER  ENTERTAINMENT ACTIVITIES LIKE)~~~
389|||OTHER CHEMICALS AND CHEMICAL PRODUCTS~~~
835|||OTHER CO-OPERATIVE PROCESSING & MARKETING SOCIETIES FEDERATIONS~~~
72909|||OTHER COMPUTER RELATED ACTIVITIES [FOR EXAMPLE ACTIVITIES OF DEVELOPMENT OF MULTIMEDIA PRESENTATION~~~
81|||OTHER DIRECT FINANCE TO AGRICULTURE (DIRECT TO FARMERS)~~~
65939|||OTHER FINANCIAL INTERMEDIATION N.E.C. )~~~
219|||OTHER FOOD MANUFACTURING AND PROCESSING INDUSTRIES -- INCLUDING(I) ANIMAL FEED, POULTRY FEED, STARCH, COCOA, CHOCOLATE AND SUGAR CONFECTIONERY(II) MANUFACTURING OF ICE(III) COMMON SALT(IV) SEMI-PROCESSED AND READY TO EAT FOOD ITEMS LIKE NOODLES, CORN-FLAK~~~
995|||OTHER HOUSING LOANS~~~
45019|||OTHER INFRASTRUCTURE CONSTRUCTION N.E.C.  LIKE CONSTRUCTION AND MAINTENANCE  WATER RESERVOIRS, IRRIG~~~
713|||OTHER LAND TRANSPORT OPERATORS INCLUDING PRIVATE TRANSPORT COMPANIES AND OTHER TRANSPORT OPERATORS' ASSOCIATIONS (TRUCKS, BUSES INCLUDING TEMPOS)~~~
190|||OTHER MINING AND QUARRYING -- INCLUDES CHROMITE, BAUXITE, GOLD AND SILVER ORES, COPPER ORE, LEAD & ZINC ORES, OTHER METAL ORES, URANIUM & THORIUM ORES, FERTILIZERS & CHEMICAL MINERALS, CERAMICS, REFRACTORY & GLASS MINERALS, OTHER MINERAL MINING, SALT MINI~~~
14203|||OTHER MINING AND QUARRYING N.E.C. [INCLUDES MINING OF PRECIOUS STONES (AGATE, DIAMOND, EMERALD, GARN~~~
65929|||OTHER NBFCS)~~~
65909|||OTHER NON-AGRICULTURAL CREDIT SOCIETIES)~~~
997|||OTHER PERSONAL LOANS (OTHER THAN TO STAFF MEMBERS) - INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL EXPENSES, INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL EXPENSES, LOANS FOR REPAYMENT OF DEBT, ETC (LOANS AGAINST FDRS/FINANCIAL SECURITIES IN THE CASE~~~
94009|||OTHER PERSONAL LOANS (OTHER THAN TO STAFF MEMBERS) INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL E~~~
95009|||OTHER PERSONAL LOANS TO STAFF MEMBERS (INCLUDE LOANS FOR DOMESTIC CONSUMPTION, MEDICAL EXPENSES, TRA~~~
31|||OTHER PLANTATION CROPS (PEPPER, CARDAMOM, CASHEWNUT, COCONUT, ARECANUT, WALNUT, ALMOND, GANJA, CINCHONA, OPIUM, BETEL AND BIDI LEAVES, ETC) - CULTIVATION~~~
32|||OTHER PLANTATION CROPS (PEPPER, CARDAMOM, CASHEWNUT, COCONUT, ARECANUT, WALNUT, ALMOND, GANJA, CINCHONA, OPIUM, BETEL AND BIDI LEAVES, ETC) - ESTATE~~~
429|||OTHER PURPOSES (ADVANCES TO STATE ELECTRICITY BOARDS FOR LAYING OF POWER LINES FOR TRANSMISSION AND DISTRIBUTION OF POWER FROM POWERHOUSES AND ADVANCES TO COMPANIES ENGAGED IN TRANSMISSION AND DISTRIBUTION OF POWER SHOULD BE INCLUDED HERE)~~~
639|||OTHER RETAIL TRADE~~~
52319|||OTHER RETAIL TRADE N.E.C.)~~~
980|||OTHER SERVICES INCLUDING(I) PUBLIC ADMINISTRATION AND DEFENSE SERVICES(II) SANITARY SERVICES -- GARBAGE AND SEWAGE DISPOSAL, OPERATION OF DRAINAGE SYSTEMS(III) EDUCATIONAL SERVICES RENDERED BY SCHOOLS/COLLEGES/COMMERCIAL INSTITUTIONS/UNIVERSITIES(IV) MEDI~~~
239|||OTHER TEXTILES AND TEXTILE GOODS -- INCLUDING(I) THREADS, NETS, MOSQUITO NETS, ETC(II) KNITTING MILLS -- COTTON AND WOOL(III) EMBROIDERY AND MAKING OF CREPES, LACES AND FRINGES, ZARI AND ZARI PRODUCTS, HOSIERY GOODS, SHAWLS, BLANKETS, ETC(IV) CARPETS, RUG~~~
51909|||OTHER WHOLESALE N.E.C.[INCLUDES SPECIALIZED WHOLESALE NOT COVERED IN ANY  ONE OF THE PREVIOUS CATEGO~~~
619|||OTHER WHOLESALE TRADE INCLUDING MEDICINES AND CHEMICALS, ORES AND METALS, PETROL, MOBILE AND ALLIED PRODUCTS, MACHINERY EQUIPMENT'S OTHER THAN FOR AGRICULTURAL PURPOSES, ETC~~~
99|||OTHERS (INCLUDE SHEEP & PIG REARING, REARING OF HORSES, MULES, DUCKS, BEES, PRODUCTION OF HONEY AND WAX, SILK WORMS AND PRODUCTION OF COCOONS OF RAW SILK, MUSHROOM FARMING AND HUNTING, TRAPPING AND GAME PROPOGATION OTHER THAN FOR SPORTS)~~~
339|||OTHERS -- SUCH AS COAL TAR, COAL GAS, NAPHTHALENE AND OTHER COKE OVEN PRODUCTS (PRODUCTION OF FERTILIZERS IS TO BE INCLUDED UNDER )~~~
898|||OTHERS INCLUDING INSURANCE CARRIERS~~~
381|||PAINTS, VARNISHES, LACQUERS, POLISHES, WAXES, DYE-STUFFS, ETC~~~
281|||PAPER AND PAPER PRODUCTS -- INCLUDING NEWS PRINT, PAPER BOARDS, HARD BOARDS, PULP PRODUCTS, PAPER BOARD ARTICLES, STRAW BOARDS, CARD BOARDS, PAPER BASED PACKAGING PRODUCTS, ETC~~~
66003|||PENSION FUNDING [THIS CLASS INCLUDES THE PROVISION OF RETIREMENT INCOMES, INCLUDING ACTIVITIES INVOL~~~
383|||PERFUMES, COSMETICS, LOTIONS, CREAMS, HAIR DRESSINGS, TOOTH PASTE & POWDER, SOAPS IN ANY FORM, SYNTHETIC DETERGENTS, SHAMPOOS, SHAVING PRODUCTS, CLEANSERS, WASHING & SCOURING PRODUCTS AND OTHER TOILET PRODUCTS~~~
990|||PERSONAL LOANS --+ LOANS AGAINST SHARES, DEBENTURES, GOVERNMENT SECURITIES, FIXED DEPOSIT RECEIPTS, REAL ESTATES, ETC (SUCH LOANS TO OTHER THAN INDIVIDUALS SHOULD BE CODED AS PER BORROWER'S ACTIVITY/OCCUPATION)~~~
94007|||PERSONAL LOANS OTHER THAN TO STAFF MEMBERS- LOANS AGAINST SHARES, DEBENTURES, GOVERNMENT SECURITIES,~~~
326|||PESTICIDES - MANUFACTURE~~~
622|||PESTICIDES AND SEEDS - RETAIL TRADE~~~
612|||PESTICIDES AND SEEDS - WHOLESALE TRADE~~~
624|||PETROL AND MINERAL OILS~~~
331|||PETROLEUM PRODUCTS -- INCLUDE REFINERY PRODUCTS LIKE KEROSENE, FUEL OILS, LUBRICATING OILS AND GREASE, NATURAL GAS AND LIQUEFIED PETROLEUM GAS (COOKING GAS) AND OTHER PRODUCTS OBTAINED FROM RESIDUES OF PETROLEUM REFINING~~~
51302|||PHARMACEUTICAL AND MEDICAL GOODS;)~~~
324|||PLASTIC AND PLASTIC PRODUCTS -- INCLUDING(I) PLASTIC MOULDED CONTAINERS(II) ACRYLIC PLASTIC SHEETS, RE-INFORCED AND LAMINATED PLASTIC SHEETS(III) SPECTACLE FRAMES, POLYTHENE BAGS, PLASTIC BASED PACKAGING PRODUCTS(IV) PLASTIC MOLDED DOMESTIC GOODS(V) PVC P~~~
64101|||POST AND COURIER  ACTIVITIES)~~~
92|||POULTRY FARMING~~~
45011|||POWER - CONSTRUCTION/ERECTION AND MAINTENANCE OF POWER AND TRANSMISSION LINES;  HYDRO-ELECTRIC PROJE~~~
831|||PRIMARY AGRICULTURAL CREDIT SOCIETIES~~~
65901|||PRIMARY AGRICULTURAL CREDIT SOCIETIES (PACS))~~~
834|||PRIMARY CO-OPERATIVE HOUSING SOCIETIES~~~
282|||PRINTING AND ALLIED ACTIVITIES, EMBOSSING AND ETCHING, BOOKBINDING, BLOCK MAKING, ETC~~~
22201|||PRINTING OF NEWSPAPERS, MAGAZINES, PERIODICALS, JOURNALS AND OTHER MATERIAL AND ALLIED ACTIVITIES N.~~~
291|||PROCESSING AND TANNING OF LEATHER -- INCLUDES TANNING, CURING, FINISHING, EMBOSSING, JAPANNING, ETC, SCRAPPING, CURRYING, TANNING, BLEACHING AND DYEING OF FUR AND OTHER PELTS FOR THE TRADE~~~
15408|||PROCESSING OF EDIBLE NUTS)~~~
23301|||PROCESSING OF NUCLEAR FUEL~~~
332|||PROCESSING OF NUCLEAR FUELS -- INCLUDING MANUFACTURING OF ENRICHED URANIUM AND PLUTONIUM AND THEIR COMPOUNDS, OTHER RADIO ACTIVE ELEMENTS, ISOTOPES, ETC~~~
202|||PROCESSING, CANNING AND PRESERVATION OF FRUITS AND VEGETABLES~~~
212|||PROCESSING, CANNING, FREEZING AND PRESERVATION OF FISH, CRUSTACEA AND SIMILAR FOODS~~~
74101|||PROFESSIONAL SERVICES (EXCEPT MEDICAL) (MEDICAL SERVICES TO BE CODED AT 851.02  AND ENGINEERING/TECH~~~
930|||PROFESSIONAL SERVICES -- DOCTORS, LAWYERS, ACCOUNTANTS, ENGINEERS, ARCHITECTS AND OTHER TECHNICALLY QUALIFIED PERSONS - IE PROFESSIONALS TAKING ADVANCE FOR PURSUIT OF THEIR OCCUPATION, PURCHASE OF TECHNICAL EQUIPMENT'S FOR PROFESSIONAL PURPOSES (LOANS TO~~~
64202|||PROVISION OF BASIC TELECOM SERVICES INCLUDING CELLULAR PHONES ; MAINTENANCE OF TELECOM NETWORK; (ERE~~~
52102|||PUBLIC UTILITY SERVICES TRANSACTED THROUGH CONSUMER CO-OPERATIVE STORES & PRIVATE RETAIL TRADERS (I.~~~
628|||PUBLIC UTILITY SERVICES TRANSACTED THROUGH CONSUMER CO-OPERATIVE STORES (IE ADVANCES GRANTED FOR FAIR PRICE SHOPS/AUTHORISED RATION SHOPS DEALING IN ESSENTIAL COMMODITIES IE WHEAT, RICE, SUGAR,CONTROLLED CLOTH, KEROSENE OIL, IMPORTED EDIBLE OIL AND SOFT C~~~
626|||PUBLIC UTILITY SERVICES TRANSACTED THROUGH PRIVATE RETAIL TRADERS EQUIPMENT'S OTHER THAN FOR AGRICULTURAL PURPOSES, ETC SHOPS DEALING IN ESSENTIAL COMMODITIES IE WHEAT, RICE, SUGAR, SHOPS DEALING IN ESSENTIAL COMMODITIES IE WHEAT, RICE, SUGAR,~~~
22101|||PUBLISHING OF BOOKS, BROCHURE, MUSICAL BOOKS AND OTHER PUBLICATIONS)~~~
22102|||PUBLISHING OF NEWS PAPERS, PERIODICIALS, JOURNALS~~~
22103|||PUBLISHING OF RECORDED MEDIA [INCLUDES PUBLISHING OF RECORDS AND OTHER RECORDED AUDIO MEDIA] )~~~
17|||PULSES~~~
715|||RAILWAY TRANSPORT~~~
01203|||RAISING  OF POULTRY (INCLUDING  BROILER)  AND OTHER DOMESTICATED BIRDS; PRODUCTION OF  EGGS AND OPER~~~
01209|||RAISING OF PIGS AND SWINE; FARMING OF RABBITS INCLUDING ANGORA RABBITS; RAISING OF BEES INCLUDING PR~~~
238|||READY MADE GARMENTS AND WEARING APPAREL AND OTHER MADE-UP TEXTILE GOODS SUCH AS CURTAINS, UPHOLSTERY~~~
70001|||REAL ESTATE ACTIVITIES INCLUDING LEASING OF REAL PROPERTY (CONSTRUCTION IS CLASSIFIED IN DIVISION 45~~~
01202|||REARING OF  GOATS, PRODUCTION OF MILK ; SHEEP,  PRODUCTION OF  SHORN WOOL; HORSES, CAMELS, MULES AND~~~
