Date:- 10/1/2011 2:59:06 PM Extract Name:- RBI Category Industry Linkage
RBIINDID|||RBIINDNAME|||Indtypeid~~~
30001|||MANUFACTURE OF COMPUTER, PRINTERS AND OTHER COMPUTER PERIPHERALS,  AUTOMATIC DATA PROCESSING MACHINE|||3.0~~~
30002|||MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY [MANUAL OR ELECTRIC OR ELECTRONIC TYPEWRIT|||3.0~~~
31|||OTHER PLANTATION CROPS (PEPPER, CARDAMOM, CASHEWNUT, COCONUT, ARECANUT, WALNUT, ALMOND, GANJA, CINCHONA, OPIUM, BETEL AND BIDI LEAVES, ETC) - CULTIVATION|||0.2~~~
310|||MANUFACTURE OF RUBBER AND RUBBER PRODUCTS INCLUDING:(I) FOAM PRODUCTS, RUBBER MATTRESSES AND CUSHIONS, TYRES, TUBES, ETC(II) MANUFACTURE OF FOOTWEAR PRIMARILY OF VULCANISED MOULDED RUBBER(III) RUBBER PIPES, BALLOONS, HOT WATER BAGS, RUBBER SHEETS, ETC(IV)|||3.0~~~
31101|||MANUFACTURE OF ELECTRIC MOTORS, GENERATORS AND TRANSFORMERS)|||3.0~~~
31201|||MANUFACTURE OF ELECTRICITY DISTRIBUTION AND CONTROL APPARATUS [ELECTRICAL APPARATUS FOR SWITCHING OR|||2.0~~~
31301|||MANUFACTURE OF INSULATED WIRE AND CABLE [INSULATED (INCLUDING ENAMELLED OR ANODIZED) WIRE, CABLE (IN|||2.0~~~
31401|||MANUFACTURE OF ACCUMULATORS, PRIMARY CELLS AND PRIMARY BATTERIES)|||2.0~~~
31501|||MANUFACTURE OF ELECTRIC LAMPS AND LIGHTING EQUIPMENT)|||2.0~~~
31901|||MANUFACTURE OF OTHER ELECTRICAL EQUIPMENT N.E.C.)|||2.0~~~
32|||OTHER PLANTATION CROPS (PEPPER, CARDAMOM, CASHEWNUT, COCONUT, ARECANUT, WALNUT, ALMOND, GANJA, CINCHONA, OPIUM, BETEL AND BIDI LEAVES, ETC) - ESTATE|||0.3~~~
321|||HEAVY INDUSTRIAL CHEMICALS (CAUSTIC SODA, SODA ASH, ETC) BASIC HEAVY INDUSTRIAL ORGANIC AND INORGANIC CHEMICALS AND GASES (SUCH AS ACIDS, ALKALIES, ACETYLENE, OXYGEN, NITROGEN AMENIA, ETC)|||3.0~~~
32101|||MANUFACTURE OF ELECTRONIC VALVES AND TUBES AND OTHER ELECTRONIC COMPONENTS; ALL TYPE OF ELECTRONIC G|||2.0~~~
322|||FERTILIZERS (FOR PRODUCTION ONLY)|||3.0~~~
32201|||MANUFACTURE OF TELEVISION AND RADIO TRANSMITTERS AND APPARATUS FOR LINE TELEPHONY AND LINE TELEGRAPH|||2.0~~~
323|||DRUGS AND PHARMACEUTICALS -- INCLUDING AYURVEDIC, HOMEOPATHIC AND UNANI MEDICINES|||3.0~~~
32301|||MANUFACTURE OF TELEVISION AND RADIO RECEIVERS, SOUND OR VIDEO RECORDING OR REPRODUCING APPARATUS, AN|||2.0~~~
324|||PLASTIC AND PLASTIC PRODUCTS -- INCLUDING(I) PLASTIC MOULDED CONTAINERS(II) ACRYLIC PLASTIC SHEETS, RE-INFORCED AND LAMINATED PLASTIC SHEETS(III) SPECTACLE FRAMES, POLYTHENE BAGS, PLASTIC BASED PACKAGING PRODUCTS(IV) PLASTIC MOLDED DOMESTIC GOODS(V) PVC P|||3.0~~~
325|||NON-EDIBLE OILS|||3.0~~~
326|||PESTICIDES - MANUFACTURE|||3.0~~~
331|||PETROLEUM PRODUCTS -- INCLUDE REFINERY PRODUCTS LIKE KEROSENE, FUEL OILS, LUBRICATING OILS AND GREASE, NATURAL GAS AND LIQUEFIED PETROLEUM GAS (COOKING GAS) AND OTHER PRODUCTS OBTAINED FROM RESIDUES OF PETROLEUM REFINING|||3.0~~~
33101|||MANUFACTURE OF MEDICAL AND SURGICAL EQUIPMENT AND ORTHOPEDIC APPLIANCES)|||3.0~~~
332|||PROCESSING OF NUCLEAR FUELS -- INCLUDING MANUFACTURING OF ENRICHED URANIUM AND PLUTONIUM AND THEIR COMPOUNDS, OTHER RADIO ACTIVE ELEMENTS, ISOTOPES, ETC|||3.0~~~
33201|||MANUFACTURE OF OPTICAL INSTRUMENTS AND PHOTOGRAPHIC EQUIPMENT)|||3.0~~~
33301|||MANUFACTURE OF WATCHES AND CLOCKS)|||2.0~~~
339|||OTHERS -- SUCH AS COAL TAR, COAL GAS, NAPHTHALENE AND OTHER COKE OVEN PRODUCTS (PRODUCTION OF FERTILIZERS IS TO BE INCLUDED UNDER )|||3.0~~~
341|||MANUFACTURE OF CEMENT|||3.0~~~
34101|||MANUFACTURE OF MOTOR VEHICLES - INCLUDING PASSENGER AND COMMERCIAL VEHICLES LIKE MOTOR CARS, JEEPS,|||3.0~~~
342|||MANUFACTURE OF CEMENT PRODUCTS INCLUDING PLASTER, ASBESTOS, CEMENT AND ITS PRODUCTS, HUME PIPES, CONCRETE PRODUCTS, ETC|||3.0~~~
34201|||MANUFACTURE OF BODIES (COACH WORK) FOR MOTOR VEHICLES; MANUFACTURE OF TRAILERS AND SEMI-TRAILERS; MA|||3.0~~~
34301|||MANUFACTURE OF PARTS AND ACCESSORIES FOR MOTOR VEHICLES AND THEIR ENGINES [BRAKES, GEAR BOXES, AXLES|||3.0~~~
351|||IRON AND STEEL -- BASIC INDUSTRIES (SMELTING, ROLLING, RE-ROLLING, COLD ROLLING, WIRE-DRAWING, ETC) INCLUDES FOUNDRIES ENGAGED IN CASTING AND FORGING OF IRON AND STEEL, SPONGE IRON, STEEL PIPES AND TUBES, MANUFACTURING OF FERRO-ALLOYS|||3.0~~~
35101|||BUILDING AND REPAIRING OF SHIPS AND FISHING TRAWLERS [THIS CLASS INCLUDES SHIP BUILDING AND REPAIRIN|||3.0~~~
352|||NON-FERROUS METALS -- BASIC INDUSTRIES (COPPER SMELTING AND ROLLING, ALUMINUM, ZINC AND BRASS MANUFACTURING)|||3.0~~~
35201|||MANUFACTURE OF RAILWAY AND TRAMWAY LOCOMOTIVES AND ROLLING STOCK; MANUFACTURE OF PARTS AND ACCESSORI|||3.0~~~
35301|||MANUFACTURE OF AIRCRAFT AND SPACECRAFT - INCLUDING FLYING BALLOONS, GLIDERS, HANG GLIDERS AND OTHER|||3.0~~~
359|||MANUFACTURE OF METAL PRODUCTS (EXCLUDING MACHINERY AND TRANSPORT EQUIPMENT'S)(I) FABRICATED METAL PRODUCTS SUCH AS METAL CONTAINERS, BARRELS, DRUMS, VAULTS, SAFES, TRUNKS AND BOXES, STEEL CUPBOARDS; RAZOR BLADES, ALUMINUM FOILS, ETC(II) STRUCTURAL METAL P|||3.0~~~
35901|||MANUFACTURE OF MOTORCYCLES, MOPEDS, SCOOTERS, SCOOTERETTES, AUTO-RICKSHAWS, TEMPOS (THREE-WHEELERS)|||3.0~~~
35909|||MANUFACTURE OF BICYCLES (INCLUDING RACING BICYCLES AND CHILDREN’S BICYCLES), CYCLE RICKSHAWS AND INV|||3.0~~~
361|||HEAVY ENGINEERING (OTHER THAN ELECTRICAL) -- INCLUDES MANUFACTURE OF:(I) TRACTORS, HARVESTERS AND HEAVY AGRICULTURAL MACHINERY AND EQUIPMENT'S(II) MACHINERY FOR TEXTILE MILLS, JUTE MILLS, SUGAR MILLS, TEA MACHINERY, RICE MILLS, FLOUR MILLS, ETC(III) COAL|||3.0~~~
36101|||MANUFACTURE OF FURNITURE & FIXTURES MADE OF WOOD, CANE , REED METAL, PLASTIC ETC.)|||3.0~~~
362|||LIGHT ENGINEERING -- INCLUDES MANUFACTURE OF:(I) LIGHT AGRICULTURAL MACHINERY, EQUIPMENT'S AND PARTS(II) REFRIGERATORS, DOMESTIC AND AUTOMOBILE AIR-CONDITIONERS, WATER COOLERS, ETC AND THEIR PARTS AND ACCESSORIES(III) FIRE FIGHTING EQUIPMENT'S, PARTS, COM|||3.0~~~
363|||ELECTRICAL MACHINERY AND GOODS -- INCLUDES MANUFACTURE OF:(I) ELECTRICAL MACHINERY -- APPARATUS AND PARTS, ELECTRIC MOTORS, GENERATORS, TRANSFORMERS, CLUTCHES & BRAKES, INSULATED WIRES & CABLES, ETC(II) CENTRAL CONDITIONERS, HIGH GRID ELECTRIC CABLES AND|||3.0~~~
364|||ELECTRONIC MACHINERY AND GOODS -- INCLUDES MANUFACTURE OF:(I) TELEVISION TRANSMISSION AND RECEIVERS, APPARATUS FOR RADIO BROADCASTING AND RECEPTION, RADAR APPARATUS AND RADIO REMOTE CONTROL APPARATUS, RADIO TELEPHONY/TELEGRAPHY, ETC(II) COMPUTERS, PRINTER|||3.0~~~
36901|||MANUFACTURE OF JEWELLERY & RELATED ARTICLES (OF PRECIOUS METAL AND GEMSTONES OTHER THAN DIAMOND) AND|||2.0~~~
36902|||DIAMOND CUTTING AND POLISHING)|||2.0~~~
36903|||MANUFACTURE OF MUSICAL INSTRUMENTS)|||3.0~~~
36904|||MANUFACTURE OF SPORTS AND ATHLETIC GOODS)|||3.0~~~
36905|||MANUFACTURE OF GAMES AND TOYS)|||3.0~~~
36906|||MANUFACTURE OF STATIONERY ARTICLES LIKE PENS, PENCILS, PENCIL LEADS, PEN REFILLS, DATE SEALING OR NU|||2.0~~~
36907|||MANUFACTURE OF IMITATION JEWELRY, BROOMS AND BRUSHES;  FLOOR SWEEPERS, MOPS; FEATHER DUSTERS; PAINT|||3.0~~~
36909|||MANUFACTURE OF LINOLEUM AND HARD SURFACE FLOOR COVERINGS; MANUFACTURE OF MISCELLANEOUS DECORATIVE AR|||3.0~~~
37001|||RECYCLING OF METAL WASTE AND SCRAP )|||3.0~~~
371|||BICYCLES, CYCLE-RICKSHAWS, BULLOCK-CARTS, HACKNEY CARRIAGES, HAND-CARTS AND THEIR PARTS|||3.0~~~
372|||TRAMWAY WORKS: PARTS AND ACCESSORIES, TRAILERS, FORK LIFTS AND OTHER MATERIAL HANDLING LIGHT EQUIPMENT'S AND PARTS, ETC|||3.0~~~
373|||MOTOR VEHICLES AND PARTS -- INCLUDING MOTOR CYCLES, SCOOTERS, SCOOTERETTES, AUTO-RICKSHAWS, TEMPOS, OTHER PASSENGER AND COMMERCIAL VEHICLES|||3.0~~~
374|||AIRCRAFT'S, SPACECRAFT'S AND PARTS, BUILDING AND REPAIRING OF SHIPS AND MAKING OF BOATS AND OTHER VESSELS, LOCOMOTIVES (DIESEL, STEAM AND ELECTRIC) AND THEIR PARTS, RAILWAY WAGONS, COACHES AND PARTS, ETC|||3.0~~~
381|||PAINTS, VARNISHES, LACQUERS, POLISHES, WAXES, DYE-STUFFS, ETC|||3.0~~~
382|||INDIGO, INK (PRINTING, STAMPING AND WRITING) AND GLUE (GUM)|||3.0~~~
383|||PERFUMES, COSMETICS, LOTIONS, CREAMS, HAIR DRESSINGS, TOOTH PASTE & POWDER, SOAPS IN ANY FORM, SYNTHETIC DETERGENTS, SHAMPOOS, SHAVING PRODUCTS, CLEANSERS, WASHING & SCOURING PRODUCTS AND OTHER TOILET PRODUCTS|||3.0~~~
384|||MATCHES, EXPLOSIVES, AMMUNITIONS AND FIREWORKS|||3.0~~~
385|||TURPENTINE, SYNTHETIC RESINS, ADHESIVES, ETC|||3.0~~~
386|||MANUFACTURE OF PHOTOCHEMICALS, SENSITISED FILMS AND PAPERS|||3.0~~~
389|||OTHER CHEMICALS AND CHEMICAL PRODUCTS|||3.0~~~
391|||WOOD AND WOOD PRODUCTS, FURNITURE AND FIXTURES INCLUDING PLYWOOD, VENEER AND THEIR PRODUCTS LIKE BOXES, CRATES, DRUMS, BARRELS, BASKETS, ETC SAWING AND PLANKING OF WOOD, INDUSTRIAL AND CONSTRUCTION GOODS LIKE BEAMS, DOORS AND WINDOWS, ETC AND CORK PRODUCT|||3.0~~~
392|||GLASS AND GLASS PRODUCTS, FLOAT GLASS, STRUCTURAL CLAY PRODUCTS, SANITARYWARE AND FITTINGS, EARTHENWARE, POTTERY, CHINAWARE, PORCELAINWARE|||3.0~~~
393|||SPORTS AND ATHLETIC GOODS|||3.0~~~
394|||STATIONERY ARTICLES LIKE FOUNTAIN PENS, PENCILS, BALL POINT PENS PIN CUSHIONS, TAGS, ETC|||3.0~~~
395|||BRICKS AND TILES|||3.0~~~
396|||FIBER GLASS PRODUCTS|||3.0~~~
397|||GEMS AND JEWELLERY AND RELATED ARTICLES AND CUTTING AND POLISHING OF DIAMONDS/PRECIOUS STONES|||3.0~~~
399|||ALL OTHER MISCELLANEOUS INDUSTRIES NOT CLASSIFIED ELSEWHERE(I) MISCELLANEOUS PRODUCTS SUCH AS IMITATION JEWELLERY, COSTUME NOVELTIES, ARTIFICIAL FLOWERS, BROOMS, BRUSHES, LAMPSHADES, TOBACCO PIPES, CIGARETTE HOLDERS, IVORY GOODS(II) MICA PRODUCTS, STRUCTU|||3.0~~~
40101|||GENERATION OF  ELECTRICITY: HYDRO-ELECTRIC POWER PLANTS , COAL  BASED THERMAL  POWER PLANTS, OIL-BAS|||4.0~~~
40102|||ENERGISATION OF PUMPSETS/WELLS (ADVANCES GRANTED TO STATE ELECTRICITY BOARDS FOR ENERGISATION OF PUM|||4.0~~~
40103|||COLLECTION AND DISTRIBUTION OF  ELECTRIC ENERGY TO HOUSEHOLDS, INDUSTRIAL, COMMERCIAL AND OTHER USER|||4.0~~~
40104|||GENERATION AND DISTRIBUTION OF  BIO-GAS ENERGY)|||4.0~~~
40105|||GENERATION AND DISTRIBUTION OF  SOLAR ENERGY  AND OTHER NON-CONVENTIONAL  SOURCES (WIND MILLS ETC.))|||4.0~~~
40201|||MANUFACTURE OF GAS; DISTRIBUTION OF GASEOUS FUELS THROUGH MAINS)|||4.0~~~
40301|||STEAM  AND HOT WATER SUPPLY)|||4.0~~~
410|||GENERATION OF ELECTRICITY|||4.0~~~
41001|||COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER)|||4.0~~~
421|||ENERGISATION OF PUMPSETS (ADVANCES GRANTED TO STATE ELECTRICITY BOARDS FOR ENERGISATION OF PUMPSETS SHOULD BE SHOWN HERE)|||4.0~~~
429|||OTHER PURPOSES (ADVANCES TO STATE ELECTRICITY BOARDS FOR LAYING OF POWER LINES FOR TRANSMISSION AND DISTRIBUTION OF POWER FROM POWERHOUSES AND ADVANCES TO COMPANIES ENGAGED IN TRANSMISSION AND DISTRIBUTION OF POWER SHOULD BE INCLUDED HERE)|||4.0~~~
430|||GAS AND STEAM GENERATION AND DISTRIBUTION THROUGH PIPES|||4.0~~~
440|||WATER SUPPLY IE COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER|||4.0~~~
45001|||GENERAL CONSTRUCTION (INCLUDING  ALTERATION,  ADDITION, REPAIR AND MAINTENANCE)  OF  RESIDENTIAL BUI|||5.0~~~
45002|||SPECIALISED CONSTRUCTION [INCLUDES CONSTRUCTION AND MAINTENANCE OF SPORTS STADIA AND OTHER CONSTRUCT|||5.0~~~
45003|||LOAN FOR SETTING UP OF INDUSTRIAL ESTATES)|||5.0~~~
45004|||BUILDING INSTALLATION AND BUILDING COMPLETION (CONSTRUCTION CONTRACTORS))|||5.0~~~
45011|||POWER - CONSTRUCTION/ERECTION AND MAINTENANCE OF POWER AND TRANSMISSION LINES;  HYDRO-ELECTRIC PROJE|||5.0~~~
45012|||TELECOMMUNICATIONS -  CONSTRUCTION/ERECTION AND MAINTENANCE OF TELECOMMUNICATION AND TRANSMISSION LI|||5.0~~~
45013|||ROADS & PORTS - INCLUDES CONSTRUCTION AND MAINTENANCE OF ROADS, RAIL-BEDS, BRIDGES, TUNNELS, PIPELIN|||5.0~~~
45019|||OTHER INFRASTRUCTURE CONSTRUCTION N.E.C.  LIKE CONSTRUCTION AND MAINTENANCE  WATER RESERVOIRS, IRRIG|||5.0~~~
451|||BIOGAS|||4.0~~~
452|||SOLAR ENERGY, WIND MILLS, ETC|||4.0~~~
500|||CONSTRUCTION (WOULD COVER BORROWERS WHOSE MAIN OCCUPATION IS CONSTRUCTION AND MAINTENANCE OF RAILWAYS, BUILDINGS, ROADS, DARNS, BRIDGES, TUNNELS, PIPELINES, PORTS, HARBORS, RUNWAYS, TURNKEY PROJECTS, ETC AND ALLIED ACTIVITIES LIKE HEATING AND AIR-CONDITIO|||5.0~~~
50001|||SALE OF ALL KINDS OF MOTOR VEHICLES [INCLUDES WHOLESALE AND RETAIL SALE OF NEW AND USED PASSENGER MO|||526~~~
50002|||SALE OF ALL KINDS OF PARTS AND ACCESSORIES OF MOTOR VEHICLES, TWO- AND THREE-WHEELERS.  [ INCLUDES W|||526~~~
50003|||MAINTENANCE AND REPAIR OF MOTOR VEHICLES, TWO- AND THREE-WHEELERS [INCLUDING WASHING AND POLISHING E|||526~~~
50005|||RETAIL SALE OF AUTOMOTIVE FUEL  [ INCLUDES THE ACTIVITY OF  PETROL FILLING STATIONS. THIS ACTIVITY I|||526~~~
51101|||WHOLESALE ON A FEE OR CONTRACT BASIS. [INCLUDES COMMISSION AGENTS, COMMODITY BROKERS AND AUCTIONEERS|||526~~~
51201|||FOOD PROCUREMENT)|||526~~~
51202|||FOOD GRAINS (CEREALS AND PULSES))|||526~~~
51203|||TOBACCO & TOBACCO PRODUCTS.) TOBACCO & TOBACCO PRODUCTS.) |||526~~~
51204|||FOOD AND BEVERAGES [INCLUDES WHOLESALE OF  FRUITS AND VEGETABLES, DAIRY PRODUCTS, EGGS & EDIBLE OILS|||526~~~
51205|||SEEDS (INCLUDING COTTON AND OIL SEEDS), AGRICULTURAL RAW MATERIAL & LIVE ANIMALS)|||526~~~
51301|||DIAMONDS, GEMS AND JEWELRY)|||526~~~
51302|||PHARMACEUTICAL AND MEDICAL GOODS;)|||526~~~
51303|||TEXTILES, CLOTHING AND FOOTWEAR AND OTHER HOUSEHOLD GOODS LIKE TOILETRY, PERFUMERY, COSMETICS, METAL|||526~~~
51401|||COTTON)|||526~~~
51402|||JUTE AND MESTA)|||526~~~
51403|||FERTILIZERS (INCLUDING ADVANCES GRANTED TO FACTORIES FOR DISTRIBUTION OF FERTILIZERS) AND PESTICIDES|||526~~~
51404|||WHOLESALE OF SOLID, LIQUID AND GASEOUS FUELS AND RELATED PRODUCTS.)|||526~~~
51405|||WHOLESALE OF METALS AND METAL ORES)|||526~~~
51406|||WHOLESALE OF CONSTRUCTION MATERIALS, HARDWARE, PLUMBING AND HEATING EQUIPMENT AND SUPPLIES)|||526~~~
51409|||WHOLESALE OF OTHER INTERMEDIATE PRODUCTS, WASTE AND SCRAP [INCLUDES BASIC INDUSTRIAL CHEMICALS, PLAS|||526~~~
51501|||AGRICULTURAL  MACHINERY AND EQUIPMENT)|||526~~~
51502|||MACHINERY, EQUIPMENT AND  SUPPLIES (OTHER THAN AGRICULTURAL  MACHINERY AND EQUIPMENT))|||526~~~
51901|||HANDICRAFTS)|||526~~~
51902|||CARPETS)|||526~~~
51909|||OTHER WHOLESALE N.E.C.[INCLUDES SPECIALIZED WHOLESALE NOT COVERED IN ANY  ONE OF THE PREVIOUS CATEGO|||526~~~
52101|||NON-SPECIALIZED  RETAIL TRADE IN STORES (GENERAL MERCHANDISE) INCLUDING CONSUMER CO-OPERATIVE STORES|||526~~~
52102|||PUBLIC UTILITY SERVICES TRANSACTED THROUGH CONSUMER CO-OPERATIVE STORES & PRIVATE RETAIL TRADERS (I.|||526~~~
52201|||RETAIL SALE IN SPECIALIZED STORES OF FOOD, BEVERAGES AND TOBACCO )|||526~~~
52301|||RETAIL SALE OF FERTILIZERS AND PESTICIDES)|||526~~~
52302|||RETAIL SALE OF SEEDS)|||526~~~
52303|||RETAIL SALE OF AGRICULTURAL IMPLEMENTS AND MACHINERY)|||526~~~
52311|||RETAIL SALE OF DIAMONDS, GEMS & JEWELRY)|||526~~~
52312|||RETAIL SALE OF CONSTRUCTION MATERIALS, HARDWARE, PAINTS AND GLASS )|||526~~~
52313|||RETAIL SALE IN SPECIALISED STORES OF PHARMACEUTICAL AND MEDICAL GOODS, COSMETIC  AND TOILET ARTICLES|||526~~~
52319|||OTHER RETAIL TRADE N.E.C.)|||526~~~
52401|||RETAIL SALE OF SECOND HAND GOODS IN STORES(INCLUDING THE PAWN SHOPS))|||526~~~
52501|||RETAIL TRADE NOT IN STORES E.G. VIA MAIL ORDER HOUSES [INCLUDES THE ACTIVITY OF  RETAIL SELLING THRO|||526~~~
52601|||REPAIRS OF PERSONAL AND HOUSEHOLD GOODS: INCLUDES REPAIR OF FOOTWEAR AND LEATHER GOODS, HOUSEHOLD EL|||526~~~
55101|||HOTELS, MOTELS AND RESORTS; CAMPING SITES AND OTHER PROVISION OF SHORT-STAY ACCOMMODATION [RESTAURAN|||552~~~
55201|||RESTAURANTS, BARS AND CANTEENS; CATERERS-INCLUDING DOOR TO DOOR SERVICES; [SALES  THROUGH VENDING MA|||552~~~
55301|||ACTIVITIES OF TRAVEL AGENCIES AND TOUR OPERATORS, TOUR ASSISTANCE ACTIVITIES (TOURISM SERVICES)|||9.0~~~
601|||TOBACCO - WHOLESALE TRADE|||6.0~~~
60101|||TRANSPORT VIA RAILWAYS [INCLUDES PASSENGER AND FREIGHT TRANSPORT BY  INTER-URBAN RAILWAYS. ALSO COVE|||642~~~
602|||HANDICRAFTS|||6.0~~~
60201|||SCHEDULED PASSENGER LAND TRANSPORT [INCLUDES ACTIVITIES PROVIDING REGULAR URBAN, SUBURBAN OR INTER U|||642~~~
60202|||NON-SCHEDULED PASSENGER LAND TRANSPORT BY MAN OR ANIMAL DRAWN VEHICLES LIKE CYCLE-RICKSAWS; ANIMALS|||642~~~
60203|||NON-SCHEDULED PASSENGER LAND TRANSPORT SUCH AS TAXI OPERATION, AUTO-RICKSHAWS, SCOOTERS, RENTAL OF P|||642~~~
60204|||FREIGHT TRANSPORT BY MOTOR VEHICLES (TRUCKS, BUSES, TEMPOS ETC.) INCLUDING REFRIGERATED VANS)|||642~~~
603|||CARPETS|||6.0~~~
60301|||TRANSPORT VIA PIPELINES [INCLUDES TRANSPORT  VIA PIPELINES AND THE INCIDENTAL  ACTIVITIES LIKE OPERA|||642~~~
604|||DIAMONDS, GEMS AND JEWELLERY - WHOLESALE TRADE|||6.0~~~
605|||BUILDING MATERIALS, HARDWARE AND SANITARY FIXTURES - WHOLESALE TRADE|||6.0~~~
611|||DISTRIBUTION OF FERTILIZERS (ADVANCES GRANTED TO FERTILIZER FACTORIES FOR DISTRIBUTION OF FERTILIZERS ARE ALSO TO BE FACTORIES FOR DISTRIBUTION OF FERTILIZERS ARE ALSO TO BE|||6.0~~~
61101|||OCEAN AND COASTAL WATER TRANSPORT)|||642~~~
612|||PESTICIDES AND SEEDS - WHOLESALE TRADE|||6.0~~~
61202|||INLAND WATER TRANSPORT)|||642~~~
613|||AGRICULTURAL IMPLEMENTS AND MACHINERY - WHOLESALE TRADE|||6.0~~~
614|||FOOD PROCUREMENT|||6.0~~~
615|||FOODGRAINS|||6.0~~~
616|||COTTON - WHOLESALE TRADE|||6.0~~~
617|||JUTE & MESTA|||6.0~~~
618|||OILSEEDS - WHOLESALE TRADE|||6.0~~~
619|||OTHER WHOLESALE TRADE INCLUDING MEDICINES AND CHEMICALS, ORES AND METALS, PETROL, MOBILE AND ALLIED PRODUCTS, MACHINERY EQUIPMENT'S OTHER THAN FOR AGRICULTURAL PURPOSES, ETC|||6.0~~~
62001|||SCHEDULED AIR TRANSPORT)|||642~~~
621|||FERTILIZERS - RETAIL TRADE|||6.0~~~
62101|||NON-SCHEDULED AIR TRANSPORT)|||642~~~
622|||PESTICIDES AND SEEDS - RETAIL TRADE|||6.0~~~
623|||AGRICULTURAL IMPLEMENTS AND MACHINERY - RETAIL TRADE|||6.0~~~
624|||PETROL AND MINERAL OILS|||6.0~~~
625|||GENERAL MERCHANDISE TRANSACTED THROUGH PRIVATE RETAIL TRADERS|||6.0~~~
626|||PUBLIC UTILITY SERVICES TRANSACTED THROUGH PRIVATE RETAIL TRADERS EQUIPMENT'S OTHER THAN FOR AGRICULTURAL PURPOSES, ETC SHOPS DEALING IN ESSENTIAL COMMODITIES IE WHEAT, RICE, SUGAR, SHOPS DEALING IN ESSENTIAL COMMODITIES IE WHEAT, RICE, SUGAR,|||6.0~~~
627|||GENERAL MERCHANDISE TRANSACTED THROUGH CONSUMER CO-OPERATIVE STORES|||6.0~~~
628|||PUBLIC UTILITY SERVICES TRANSACTED THROUGH CONSUMER CO-OPERATIVE STORES (IE ADVANCES GRANTED FOR FAIR PRICE SHOPS/AUTHORISED RATION SHOPS DEALING IN ESSENTIAL COMMODITIES IE WHEAT, RICE, SUGAR,CONTROLLED CLOTH, KEROSENE OIL, IMPORTED EDIBLE OIL AND SOFT C|||6.0~~~
63001|||WAREHOUSING)|||642~~~
63002|||COLD STORAGE)|||642~~~
63011|||SUPPORTING SERVICES TO LAND TRANSPORT SUCH AS OPERATION OF  RAILWAY STATIONS, BUS STATIONS, HIGHWAY|||642~~~
63012|||SUPPORTING SERVICES INCIDENTAL TO WATER TRANSPORT SUCH AS OPERATION AND MAINTENANCE OF  PIERS, DOCKS|||642~~~
63013|||SUPPORTING SERVICES TO AIR TRANSPORT SUCH AS OPERATION AND MAINTENANCE OF TERMINALS, FLYING FACILITI|||642~~~
63014|||ACTIVITIES OF TRAVEL AGENCIES AND TOUR OPERATORS; TOURIST ASSISTANCE ACTIVITIES N.E.C.  )|||642~~~
63019|||ACTIVITIES OF OTHER TRANSPORT AGENCIES [INCLUDES CARGO HANDLING, FORWARDING OF FREIGHT, ORGANISATION|||642~~~
631|||DIAMONDS, GEMS & JEWELLERY - RETAIL TRADE|||6.0~~~
632|||BUILDING MATERIALS, HARDWARE AND SANITARY FIXTURES - RETAIL TRADE|||6.0~~~
639|||OTHER RETAIL TRADE|||6.0~~~
64101|||POST AND COURIER  ACTIVITIES)|||642~~~
64201|||TELECOMMUNICATION SERVICES: INCLUDES THE ACTIVITIES OF STD/ISD BOOTHS, PROVISION OF VALUE ADDED TELE|||642~~~
64202|||PROVISION OF BASIC TELECOM SERVICES INCLUDING CELLULAR PHONES ; MAINTENANCE OF TELECOM NETWORK; (ERE|||642~~~
65101|||COMMERCIAL BANKS)|||672~~~
65102|||REGIONAL RURAL BANKS)|||672~~~
65103|||CO-OPERATIVE BANKS    )|||672~~~
65104|||LOCAL AREA BANKS)|||672~~~
65901|||PRIMARY AGRICULTURAL CREDIT SOCIETIES (PACS))|||672~~~
65902|||FARMERS SERVICE SOCIETIES (FSS) AND LARGE SIZED ADIVASI MULTI-PURPOSE SOCIETIES (LAMPS))|||672~~~
65903|||APEX CO-OPERATIVE HOUSING FINANCE SOCIETIES)|||672~~~
65904|||CO-OPERATIVE MARKETING SOCIETIES (INCLUDING LOANS TO CO-OPERATIVE BANKS FOR RE-LENDING TO CO-OPERATI|||672~~~
65905|||LAND DEVELOPMENT BANKS-SLDBS AND PLDBS)|||672~~~
65909|||OTHER NON-AGRICULTURAL CREDIT SOCIETIES)|||672~~~
65911|||DEVELOPMENTAL FINANCIAL INSTITUTIONS (E.G. IDBI, EXIM BANK, IFCI, ICICI,  NHB, DFHI, SFCS, ETC.))|||672~~~
65912|||HOUSING FINANCE COMPANIES/CORPORATIONS, OTHER SPECIALISED INSTITUTIONS GRANTING CREDIT FOR HOUSE PUR|||672~~~
65921|||FACTORING/HIRE PURCHASE FINANCE COMPANIES)|||672~~~
65922|||CHIT FUNDS/KURI COMPANIES)|||672~~~
65923|||SAVING & LOAN COMPANIES)|||672~~~
65924|||NIDHIS/MUTUAL BENEFIT FINANCIAL COMPANIES)|||672~~~
65925|||NON-OPERATING FINANCIAL HOLDING COMPANIES (INVESTMENT COMPANIES))|||672~~~
65926|||FINANCIAL LEASING COMPANIES (EQUIPMENT LEASING COMPANIES))|||672~~~
65929|||OTHER NBFCS)|||672~~~
